1		NA		1		NA
1		NA		1		NA
1		NA		1		1
1		NA		1		1
1		NA		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		2		1		1
1		2		1		1
1		2		1		1
1		1		1		1
1		1		2		1
1		1		2		1
1		1		2		2
1		1		2		3
1		1		3		1
1		1		1		1
1		1		1		1
1		1		3		3
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		2		1		1
1		1		1		1
1		1		1		1
1		1		1		3
1		1		1		1
1		1		1		1
1		1		2		1
1		2		2		1
3		2		2		1
1		1		2		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		3		1		1
1		1		3		1
1		3		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
3		1		1		1
1		1		1		1
1		1		1		1
1		1		1		1
1		1		1		NA
3		1		1		NA
1		3		1		NA
1		1		1		NA
1		1		1		NA
1		1		1		NA
1		2		1		NA
1		2		1		NA
1		1		1		NA
1		1		1		NA
1		1		1		NA
1		1		1		NA
1		1		1		NA
1		1		1		NA
1		1		1		NA
1		3		1		NA
1		1		1		NA
1		1		1		NA
3		1		1		NA
1		1		1		NA
1		1		1		NA
1		1		1		NA
1		NA		1		NA
1		NA		1		NA
1		NA		1		NA
1		NA		1		NA
3		NA		NA		NA
NA		NA		NA		NA
NA		NA		NA		NA
NA		NA		NA		NA
NA		NA		NA		NA
